Ensembl_human_genes,Chromosome,Startsite,Strand,Band,Symbol,EntrezGene,Unigene,Tissue_number,Tissues,Max_tissue
ENSG00000197403,1,158747814,-1,q23.1,OR6N1,128372,Hs.553592,3,/bonemarrow/lung/testis,bonemarrow
ENSG00000105851,7,106865278,1,q22.3,PIK3CG,5294,Hs.561747,3,/bonemarrow/lymphnode/tonsil,bonemarrow
ENSG00000141506,17,8878911,-1,p13.1,PIK3R5,23533,Hs.738684,3,/appendices/bonemarrow/spleen,bonemarrow
ENSG00000011422,19,43646095,-1,q13.31,PLAUR,5329,Hs.466871,3,/appendices/bonemarrow/gallbladder,bonemarrow
ENSG00000224940,7,128350325,-1,q32.1,PRRT4,401399,Hs.381096,3,/bonemarrow/fat/skeletalmuscle,bonemarrow
ENSG00000073756,1,186671791,-1,q31.1,PTGS2,5743,Hs.196384,3,/bonemarrow/gallbladder/urirybladder,bonemarrow
ENSG00000171777,19,38409051,-1,q13.2,RASGRP4,115727,Hs.130434,3,/appendices/bonemarrow/spleen,bonemarrow
ENSG00000112077,6,49605158,-1,p12.3,RHAG,6005,Hs.120950,3,/bonemarrow/heart/placenta,bonemarrow
ENSG00000155307,21,14485228,-1,q11.2,SAMSN1,64092,Hs.719474,3,/appendices/bonemarrow/tonsil,bonemarrow
ENSG00000163554,1,158610706,-1,q23.1,SPTA1,6708,Hs.119825,3,/bonemarrow/placenta/testis,bonemarrow
ENSG00000130775,1,27872543,1,p35.3,THEMIS2,9473,Hs.10649,3,/appendices/bonemarrow/spleen,bonemarrow
ENSG00000232810,6,31575567,1,p21.33,TNF,7124,Hs.241570,3,/bonemarrow/lymphnode/tonsil,bonemarrow
ENSG00000135451,12,49323236,1,q13.12,TROAP,10024,Hs.524399,3,/bonemarrow/testis/tonsil,bonemarrow
ENSG00000189068,19,54040825,-1,q13.42,VSTM1,284415,Hs.444431,3,/bonemarrow/smoothmuscle/urirybladder,bonemarrow
ENSG00000256316,,,,,,,,3,/bonemarrow/esophagus/lymphnode,bonemarrow
ENSG00000269510,,,,,,,,3,/bonemarrow/gallbladder/lung,bonemarrow
ENSG00000256515,,,,,,,,3,/bonemarrow/gallbladder/urirybladder,bonemarrow
ENSG00000205021,,,,,,,,3,/bonemarrow/gallbladder/urirybladder,bonemarrow
ENSG00000269591,,,,,,,,3,/bonemarrow/liver/skin,bonemarrow
ENSG00000168242,,,,,,,,3,/bonemarrow/lymphnode/urirybladder,bonemarrow
ENSG00000212997,,,,,,,,3,/bonemarrow/pancreas/skeletalmuscle,bonemarrow
ENSG00000196331,,,,,,,,3,/bonemarrow/placenta/tonsil,bonemarrow
ENSG00000182885,16,57668187,1,q21,ADGRG3,222487,Hs.383403,4,/appendices/bonemarrow/fat/spleen,bonemarrow
ENSG00000160117,19,17281645,1,p13.11,ANKLE1,126549,Hs.721610,4,/appendices/bonemarrow/lymphnode/tonsil,bonemarrow
ENSG00000180071,9,38571358,-1,p13.1,ANKRD18A,253650,Hs.724217,4,/bonemarrow/skin/testis/thyroid,bonemarrow
ENSG00000254979,11,57387365,-1,q12.1,AP000781.2,,,4,/bonemarrow/liver/placenta/skin,bonemarrow
ENSG00000179750,22,38982347,1,q13.1,APOBEC3B,9582,Hs.658626,4,/bonemarrow/colon/rectum/tonsil,bonemarrow
ENSG00000089685,17,78214186,1,q25.3,BIRC5,332,Hs.744872,4,/bonemarrow/lymphnode/testis/tonsil,bonemarrow
ENSG00000204960,7,155356985,-1,q36.3,BLACE,338436,Hs.521326,4,/bonemarrow/fallopiantube/testis/tonsil,bonemarrow
ENSG00000101425,20,38304123,1,q11.23,BPI,671,Hs.529019,4,/bonemarrow/kidney/ovary/testis,bonemarrow
ENSG00000168071,11,64340223,1,q13.1,CCDC88B,283234,Hs.98564,4,/appendices/bonemarrow/lymphnode/spleen,bonemarrow
ENSG00000158825,1,20588948,1,p36.12,CDA,978,Hs.466910,4,/bonemarrow/esophagus/liver/rectum,bonemarrow
ENSG00000117724,1,214603195,1,q41,CENPF,1063,Hs.497741,4,/bonemarrow/lymphnode/testis/tonsil,bonemarrow
ENSG00000169607,2,112736607,-1,q14.1,CKAP2L,150468,Hs.434250,4,/bonemarrow/lymphnode/testis/tonsil,bonemarrow
ENSG00000172322,12,9951316,1,p13.31,CLEC12A,160364,Hs.190519,4,/appendices/bonemarrow/lung/spleen,bonemarrow
ENSG00000166523,12,8533305,-1,p13.31,CLEC4E,26253,Hs.236516,4,/appendices/bonemarrow/gallbladder/spleen,bonemarrow
ENSG00000092853,1,35720218,-1,p34.3,CLSPN,63967,Hs.175613,4,/bonemarrow/lymphnode/testis/tonsil,bonemarrow
ENSG00000197721,1,207645113,1,q32.2,CR1L,1379,Hs.655194,4,/appendices/bonemarrow/lymphnode/tonsil,bonemarrow
ENSG00000100448,14,24573522,-1,q12,CTSG,1511,Hs.421724,4,/bonemarrow/colonrectum/gallbladder/rectum,bonemarrow
ENSG00000172543,11,65879809,1,q13.1,CTSW,1521,Hs.416848,4,/bonemarrow/lung/lymphnode/spleen,bonemarrow
ENSG00000106462,7,148807383,-1,q36.1,EZH2,2146,Hs.732308,4,/bonemarrow/lymphnode/testis/tonsil,bonemarrow
ENSG00000184922,17,45221444,1,q21.31,FMNL1,752,Hs.729912,4,/appendices/bonemarrow/lymphnode/spleen,bonemarrow
ENSG00000123689,1,209675420,1,q32.2,G0S2,50486,Hs.432132,4,/bonemarrow/fat/liver/skeletalmuscle,bonemarrow
ENSG00000115523,2,85685175,1,p11.2,GNLY,10578,Hs.105806,4,/bonemarrow/endometrium/lung/spleen,bonemarrow
ENSG00000075218,22,46296741,1,q13.31,GTSE1,51512,Hs.439524,4,/bonemarrow/lymphnode/testis/tonsil,bonemarrow
ENSG00000197465,4,143870867,-1,q31.21,GYPE,2996,Hs.728753,4,/bonemarrow/lung/spleen/tonsil,bonemarrow
ENSG00000223609,11,5232678,-1,p15.4,HBD,3045,Hs.699280,4,/bonemarrow/fallopiantube/placenta/salivarygland,bonemarrow
ENSG00000126264,19,35902480,1,q13.12,HCST,10870,Hs.117339,4,/appendices/bonemarrow/lymphnode/spleen,bonemarrow
ENSG00000123485,2,233833416,-1,q37.1,HJURP,55355,Hs.532968,4,/bonemarrow/lymphnode/testis/tonsil,bonemarrow
ENSG00000160883,5,176880869,-1,q35.2,HK3,3101,Hs.411695,4,/appendices/bonemarrow/lung/spleen,bonemarrow
ENSG00000113749,5,175658030,1,q35.2,HRH2,3274,Hs.247885,4,/appendices/bonemarrow/heart/placenta,bonemarrow
ENSG00000115607,2,102418689,1,q12.1,IL18RAP,8807,Hs.158315,4,/appendices/bonemarrow/fat/spleen,bonemarrow
ENSG00000160255,21,44885953,-1,q22.3,ITGB2,3689,Hs.375957,4,/appendices/bonemarrow/lymphnode/spleen,bonemarrow
ENSG00000069424,1,5991466,1,p36.31,KCB2,8514,Hs.735032,4,/bonemarrow/brain/lymphnode/spleen,bonemarrow
ENSG00000055118,7,150944961,-1,q36.1,KCNH2,3757,Hs.647099,4,/bonemarrow/heart/smoothmuscle/testis,bonemarrow
ENSG00000105610,19,12884422,-1,p13.13,KLF1,10661,Hs.37860,4,/bonemarrow/brain/placenta/spleen,bonemarrow
ENSG00000205639,2,24010081,1,p23.3,MFSD2B,388931,Hs.407482,4,/bonemarrow/placenta/stomach/testis,bonemarrow
ENSG00000163563,1,158831317,1,q23.1,MNDA,4332,Hs.153837,4,/appendices/bonemarrow/lung/spleen,bonemarrow
ENSG00000149516,11,60056587,1,q12.1,MS4A3,932,Hs.99960,4,/appendices/bonemarrow/placenta/spleen,bonemarrow
ENSG00000116701,1,183555563,-1,q25.3,NCF2,4688,Hs.587558,4,/appendices/bonemarrow/lung/spleen,bonemarrow
ENSG00000105374,19,51371606,-1,q13.41,NKG7,4818,Hs.10306,4,/bonemarrow/lung/lymphnode/spleen,bonemarrow
ENSG00000142405,19,53793603,-1,q13.42,NLRP12,91662,Hs.631573,4,/appendices/bonemarrow/lung/spleen,bonemarrow
ENSG00000196358,9,132161676,1,q34.13,NTNG2,84628,Hs.387968,4,/bonemarrow/brain/heart/prostate,bonemarrow
ENSG00000135114,12,121019111,-1,q24.31,OASL,8638,Hs.118633,4,/bonemarrow/colonrectum/lung/stomach,bonemarrow
ENSG00000188340,1,158774222,-1,q23.1,OR6N2,81442,Hs.554487,4,/bonemarrow/kidney/spleen/testis,bonemarrow
ENSG00000258083,7,141916399,1,q34,OR9A4,130075,Hs.690171,4,/bonemarrow/colonrectum/placenta/testis,bonemarrow
ENSG00000085840,1,52372829,-1,p32.3,ORC1,4998,Hs.17908,4,/bonemarrow/colon/lymphnode/tonsil,bonemarrow
ENSG00000115155,2,26457203,-1,p23.3,OTOF,9381,Hs.91608,4,/bonemarrow/brain/spleen/testis,bonemarrow
ENSG00000159339,1,17308195,1,p36.13,PADI4,23569,Hs.522969,4,/appendices/bonemarrow/fat/spleen,bonemarrow
ENSG00000133246,19,8490056,-1,p13.2,PRAM1,84106,Hs.465812,4,/appendices/bonemarrow/lung/spleen,bonemarrow
ENSG00000140368,15,76993359,1,q24.3,PSTPIP1,9051,Hs.129758,4,/appendices/bonemarrow/lymphnode/spleen,bonemarrow
ENSG00000054967,11,73376264,1,q13.4,RELT,84957,Hs.533720,4,/appendices/bonemarrow/lymphnode/spleen,bonemarrow
ENSG00000242550,18,63897174,1,q21.33,SERPINB10,5273,Hs.158339,4,/bonemarrow/esophagus/skin/tonsil,bonemarrow
ENSG00000171241,16,46580554,-1,q11.2,SHCBP1,79801,Hs.123253,4,/appendices/bonemarrow/lymphnode/tonsil,bonemarrow
ENSG00000105501,19,51611927,-1,q13.41,SIGLEC5,8778,Hs.310333,4,/appendices/bonemarrow/lymphnode/spleen,bonemarrow
ENSG00000154839,18,50374995,1,q21.1,SKA1,220134,Hs.134726,4,/bonemarrow/lymphnode/testis/tonsil,bonemarrow
ENSG00000103257,16,87830023,-1,q24.2,SLC7A5,8140,Hs.513797,4,/bonemarrow/brain/esophagus/testis,bonemarrow
ENSG00000236320,17,35548125,-1,q12,SLFN14,342618,Hs.591193,4,/bonemarrow/lung/lymphnode/spleen,bonemarrow
ENSG00000066336,11,47354860,-1,p11.2,SPI1,6688,Hs.502511,4,/appendices/bonemarrow/lung/spleen,bonemarrow
ENSG00000081320,2,196133566,-1,q32.3,STK17B,9262,Hs.88297,4,/appendices/bonemarrow/lymphnode/tonsil,bonemarrow
ENSG00000135604,6,144150526,1,q24.2,STX11,8676,Hs.118958,4,/bonemarrow/fat/lung/spleen,bonemarrow
ENSG00000013810,4,1721490,1,p16.3,TACC3,10460,Hs.104019,4,/bonemarrow/lymphnode/testis/tonsil,bonemarrow
ENSG00000162722,1,247857199,1,q44,TRIM58,25893,Hs.269151,4,/bonemarrow/placenta/testis/thyroid,bonemarrow
ENSG00000258984,2,237967014,1,q37.3,UBE2F-SCLY,100533179,Hs.471785,4,/bonemarrow/duodenum/placenta/testis,bonemarrow
ENSG00000268965,,,,,,,,4,/appendices/bonemarrow/endometrium/spleen,bonemarrow
ENSG00000183657,,,,,,,,4,/bonemarrow/colonrectum/rectum/skin,bonemarrow
ENSG00000214921,,,,,,,,4,/bonemarrow/gallbladder/kidney/liver,bonemarrow
ENSG00000184825,,,,,,,,4,/bonemarrow/lymphnode/placenta/testis,bonemarrow
ENSG00000197697,,,,,,,,4,/bonemarrow/lymphnode/prostate/salivarygland,bonemarrow
ENSG00000179869,7,48171458,1,p12.3,ABCA13,154664,Hs.745575,5,/bonemarrow/fallopiantube/testis/thyroid/tonsil,bonemarrow
ENSG00000268500,19,51612091,-1,q13.41,AC018755.2,,,5,/appendices/bonemarrow/lymphnode/spleen/urirybladder,bonemarrow
ENSG00000255275,1,18849273,-1,p36.13,AL080251.1,,,5,/bonemarrow/esophagus/kidney/stomach/testis,bonemarrow
ENSG00000012779,10,45374176,1,q11.21,ALOX5,240,Hs.89499,5,/appendices/bonemarrow/lung/spleen/urirybladder,bonemarrow
ENSG00000198520,1,44674692,1,p34.1,ARMH1,339541,Hs.173679,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000140379,15,79960889,-1,q25.1,BCL2A1,597,Hs.227817,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000110934,12,51281038,-1,q13.13,BIN2,51411,Hs.14770,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000180066,10,132444327,1,q26.3,C10orf91,170393,Hs.375059,5,/bonemarrow/colon/colonrectum/esophagus/lymphnode,bonemarrow
ENSG00000185905,16,29742463,-1,p11.2,C16orf54,283897,Hs.331095,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000110848,12,9752486,-1,p13.31,CD69,969,Hs.208854,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000167513,16,88803213,1,q24.3,CDT1,81620,Hs.122908,5,/bonemarrow/lymphnode/placenta/smallintestine/testis,bonemarrow
ENSG00000258227,7,141927357,-1,q34,CLEC5A,23601,Hs.446235,5,adrenal/appendices/bonemarrow/lung/skin,bonemarrow
ENSG00000121966,2,136114349,-1,q22.1,CXCR4,7852,Hs.593413,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000146094,5,177501907,-1,q35.3,DOK3,79930,Hs.720849,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000158050,2,96143166,-1,q11.2,DUSP2,1844,Hs.1183,5,/bonemarrow/lymphnode/spleen/tonsil/urirybladder,bonemarrow
ENSG00000197561,19,851014,1,p13.3,ELANE,1991,Hs.99863,5,/bonemarrow/placenta/salivarygland/skin/spleen,bonemarrow
ENSG00000121053,17,58192737,1,q22,EPX,8288,Hs.279259,5,/appendices/bonemarrow/lymphnode/placenta/spleen,bonemarrow
ENSG00000149781,11,64206678,1,q13.1,FERMT3,83706,Hs.180535,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000000938,1,27612064,-1,p35.3,FGR,2268,Hs.1422,5,/appendices/bonemarrow/lung/lymphnode/spleen,bonemarrow
ENSG00000130755,19,39328353,-1,q13.2,GMFG,9535,Hs.5210,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000140030,14,88005124,1,q31.3,GPR65,8477,Hs.443243,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000139572,12,54362445,-1,q13.13,GPR84,53831,Hs.306199,5,/appendices/bonemarrow/fat/placenta/urirybladder,bonemarrow
ENSG00000170180,4,144109303,-1,q31.21,GYPA,2993,Hs.434973,5,/bonemarrow/kidney/placenta/salivarygland/skin,bonemarrow
ENSG00000196684,19,16134028,1,p13.11,HSH2D,84941,Hs.631617,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000185811,7,50304068,1,p12.2,IKZF1,10320,Hs.488251,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000197993,7,142941114,-1,q34,KEL,3792,Hs.368588,5,/bonemarrow/lymphnode/spleen/testis/tonsil,bonemarrow
ENSG00000125498,19,54769811,1,q13.42,KIR2DL1,3802,Hs.690615,5,/bonemarrow/endometrium/lung/placenta/spleen,bonemarrow
ENSG00000162511,1,30732469,-1,p35.2,LAPTM5,7805,Hs.371021,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000059728,2,69897688,1,p13.3,MXD1,4084,Hs.468908,5,/appendices/bonemarrow/colonrectum/esophagus/smallintestine,bonemarrow
ENSG00000158517,7,74773962,1,q11.23,NCF1,653361,Hs.655201,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000166803,15,64364311,-1,q22.31,PCLAF,9768,Hs.81892,5,/appendices/bonemarrow/colon/lymphnode/tonsil,bonemarrow
ENSG00000008438,19,46019153,-1,q13.32,PGLYRP1,8993,Hs.137583,5,/appendices/bonemarrow/liver/placenta/spleen,bonemarrow
ENSG00000115956,2,68365173,1,p14,PLEK,5341,Hs.468840,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000051341,3,121431427,-1,q13.33,POLQ,10721,Hs.241517,5,/appendices/bonemarrow/lymphnode/rectum/tonsil,bonemarrow
ENSG00000185198,19,685546,-1,p13.3,PRSS57,400668,Hs.245146,5,/bonemarrow/lung/lymphnode/ovary/spleen,bonemarrow
ENSG00000134242,1,113813811,-1,p13.2,PTPN22,26191,Hs.535276,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000159496,22,23688136,1,q11.23,RGL4,266747,Hs.658997,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000169385,14,20955452,1,q11.2,RSE2,6036,Hs.728,5,adrenal/appendices/bonemarrow/smoothmuscle/urirybladder,bonemarrow
ENSG00000020633,1,24899511,-1,p36.11,RUNX3,864,Hs.170019,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000004939,17,44248385,-1,q21.31,SLC4A1,6521,Hs.443948,5,/bonemarrow/esophagus/kidney/placenta/spleen,bonemarrow
ENSG00000101162,20,59019254,1,q13.32,TUBB1,81027,Hs.303023,5,/bonemarrow/lung/placenta/spleen/testis,bonemarrow
ENSG00000198366,,,,,,,,5,adrenal/bonemarrow/lung/lymphnode/testis,bonemarrow
ENSG00000136653,,,,,,,,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,bonemarrow
ENSG00000198327,,,,,,,,5,/bonemarrow/colonrectum/esophagus/placenta/testis,bonemarrow
ENSG00000107331,9,137007227,-1,q34.3,ABCA2,20,Hs.421202,1,/brain,brain
ENSG00000138443,2,203328219,1,q33.2,ABI2,10152,Hs.471156,1,/brain,brain
ENSG00000133627,7,152759749,1,q36.1,ACTR3B,57180,Hs.647117,1,/brain,brain
ENSG00000121753,1,31727117,-1,p35.2,ADGRB2,576,Hs.524138,1,/brain,brain
ENSG00000072071,19,14147743,-1,p13.12,ADGRL1,22859,Hs.94229,1,/brain,brain
ENSG00000150471,4,61201258,1,q13.1,ADGRL3,23284,Hs.570770,1,/brain,brain
ENSG00000078053,7,38383704,-1,p14.1,AMPH,273,Hs.592182,1,/brain,brain
ENSG00000107282,9,69427530,-1,q21.12,APBA1,320,Hs.592974,1,/brain,brain
ENSG00000166313,11,6395124,-1,p15.4,APBB1,322,Hs.372840,1,/brain,brain
ENSG00000134982,5,112707498,1,q22.2,APC,324,Hs.158932,1,/brain,brain
ENSG00000131089,X,63634967,-1,q11.2,ARHGEF9,23229,Hs.734375,1,/brain,brain
ENSG00000172379,15,80404350,1,q25.1,ARNT2,9915,Hs.459070,1,/brain,brain
ENSG00000128989,15,52547045,-1,q21.2,ARPP19,10776,Hs.512908,1,/brain,brain
ENSG00000110881,12,50057548,1,q13.12,ASIC1,41,Hs.274361,1,/brain,brain
ENSG00000198513,14,50532509,1,q22.1,ATL1,51062,Hs.584905,1,/brain,brain
ENSG00000171130,7,149872968,1,q36.1,ATP6V0E2,155066,Hs.556998,1,/brain,brain
ENSG00000213760,6,31544462,-1,p21.33,ATP6V1G2,534,Hs.249227,1,/brain,brain
ENSG00000054793,20,51596514,-1,q13.2,ATP9A,10079,Hs.649234,1,/brain,brain
ENSG00000112309,6,70856679,-1,q13,B3GAT2,135152,Hs.713609,1,/brain,brain
ENSG00000135454,12,57623410,-1,q13.3,B4GALNT1,2583,Hs.159481,1,/brain,brain
ENSG00000174684,11,66345372,-1,q13.2,B4GAT1,11041,Hs.8526,1,/brain,brain
ENSG00000236939,8,103132963,-1,q22.3,BAALC-AS2,157556,Hs.459124,1,/brain,brain
ENSG00000151917,6,56955126,1,p12.1,BEND6,221336,Hs.582993,1,/brain,brain
ENSG00000184515,X,102153708,-1,q22.1,BEX5,340542,Hs.47209,1,/brain,brain
ENSG00000198908,X,102720688,1,q22.1,BHLHB9,80823,Hs.4276,1,/brain,brain
ENSG00000180828,8,64580367,1,q12.3,BHLHE22,27319,Hs.591870,1,/brain,brain
ENSG00000160469,19,55282072,1,q13.42,BRSK1,84446,Hs.182081,1,/brain,brain
ENSG00000174456,12,110027028,-1,q24.11,C12orf76,400073,Hs.732489,1,/brain,brain
ENSG00000166780,16,15434295,1,p13.11,C16orf45,89927,Hs.401798,1,/brain,brain
ENSG00000212719,17,21428381,-1,p11.2,C17orf51,339263,Hs.745165,1,/brain,brain
ENSG00000142686,1,35713875,-1,p34.3,C1orf216,127703,Hs.112023,1,/brain,brain
ENSG00000128254,22,31933521,-1,q12.3,C22orf24,25775,Hs.627602,1,/brain,brain
ENSG00000197927,2,131722375,1,q21.2,C2orf27A,29798,Hs.655680,1,/brain,brain
ENSG00000178722,5,61637708,1,q12.1,C5orf64,285668,Hs.683866,1,/brain,brain
ENSG00000165995,10,18140677,1,p12.33,CACNB2,783,Hs.59093,1,/brain,brain
ENSG00000136274,7,45080438,-1,p13,CAD,23148,Hs.96633,1,/brain,brain
ENSG00000105767,19,43622368,-1,q13.31,CADM4,199731,Hs.370984,1,/brain,brain
ENSG00000162545,1,20482391,-1,p36.12,CAMK2N1,55450,Hs.731383,1,/brain,brain
ENSG00000154429,1,229321005,-1,q42.13,CCSAP,126731,Hs.585011,1,/brain,brain
ENSG00000008086,X,18425583,1,p22.13,CDKL5,6792,Hs.696079,1,/brain,brain
ENSG00000167123,9,128411751,1,q34.11,CERCAM,51148,Hs.495230,1,/brain,brain
ENSG00000138028,2,27098889,-1,p23.3,CGREF1,10669,Hs.159525,1,/brain,brain
ENSG00000134121,3,196596,1,p26.3,CHL1,10752,Hs.731409,1,/brain,brain
ENSG00000128656,2,174799363,-1,q31.1,CHN1,1123,Hs.380138,1,/brain,brain
ENSG00000115526,2,100391860,-1,q11.2,CHST10,9486,Hs.731724,1,/brain,brain
ENSG00000122966,12,119685790,-1,q24.23,CIT,11113,Hs.119594,1,/brain,brain
ENSG00000163539,3,33496245,-1,p22.3,CLASP2,23122,Hs.108614,1,/brain,brain
ENSG00000106665,7,74289475,1,q11.23,CLIP2,7461,Hs.647018,1,/brain,brain
ENSG00000105270,19,36014660,-1,q13.12,CLIP3,25999,Hs.466539,1,/brain,brain
ENSG00000143786,1,224434660,1,q42.12,CNIH3,149111,Hs.731723,1,/brain,brain
ENSG00000149970,X,21372801,1,p22.12,CNKSR2,22866,Hs.555917,1,/brain,brain
ENSG00000173786,17,41966741,1,q21.2,CNP,1267,Hs.273621,1,/brain,brain
ENSG00000119865,2,68284171,-1,p14,CNRIP1,25927,Hs.212885,1,/brain,brain
ENSG00000241563,1,10449719,1,p36.22,CORT,1325,Hs.412311,1,/brain,brain
ENSG00000178662,2,165469647,1,q24.3,CSRNP3,80034,Hs.470479,1,/brain,brain
ENSG00000077063,7,117710651,-1,q31.31,CTTNBP2,83992,Hs.592285,1,/brain,brain
ENSG00000168329,3,39263494,-1,p22.2,CX3CR1,1524,Hs.78913,1,/brain,brain
ENSG00000168772,4,104468312,-1,q24,CXXC4,80319,Hs.624057,1,/brain,brain
ENSG00000036530,14,99684304,1,q32.2,CYP46A1,10858,Hs.25121,1,/brain,brain
ENSG00000146122,6,39792298,1,p21.2,DAAM2,23500,Hs.734949,1,/brain,brain
ENSG00000134780,11,61680433,1,q12.2,DAGLA,747,Hs.241564,1,/brain,brain
ENSG00000244274,20,45406057,1,q13.12,DBNDD2,55861,Hs.730643,1,/brain,brain
ENSG00000180872,6,50043575,-1,p12.3,DEFB112,245915,Hs.571092,1,/brain,brain
ENSG00000250091,12,123925461,-1,q24.31,DH10OS,,,1,/brain,brain
ENSG00000132535,17,7187169,-1,p13.1,DLG4,1742,Hs.463928,1,/brain,brain
ENSG00000158856,8,22048995,1,p21.3,DMTN,2039,Hs.106124,1,/brain,brain
ENSG00000092964,8,26514022,1,p21.2,DPYSL2,1808,Hs.593187,1,/brain,brain
ENSG00000164176,5,83940554,-1,q14.3,EDIL3,10085,Hs.482730,1,/brain,brain
ENSG00000171617,5,74627406,-1,q13.3,ENC1,8507,Hs.744844,1,/brain,brain
ENSG00000111674,12,6913745,1,p13.31,ENO2,2026,Hs.511915,1,/brain,brain
ENSG00000116106,2,221418027,-1,q36.1,EPHA4,2043,Hs.371218,1,/brain,brain
ENSG00000175182,3,184335926,1,q27.1,FAM131A,131408,Hs.591307,1,/brain,brain
ENSG00000204442,13,107163510,-1,q33.3,FAM155A,728215,Hs.535394,1,/brain,brain
ENSG00000054965,11,73400487,-1,q13.4,FAM168A,23201,Hs.475334,1,/brain,brain
ENSG00000182103,11,82729941,-1,q14.1,FAM181B,220382,Hs.448218,1,/brain,brain
ENSG00000198673,12,61708259,-1,q14.1,FAM19A2,338811,Hs.602099,1,/brain,brain
ENSG00000164970,9,34398184,-1,p13.3,FAM219A,203259,Hs.493771,1,/brain,brain
ENSG00000171224,10,69630251,1,q22.1,FAM241B,219738,Hs.522992,1,/brain,brain
ENSG00000157470,15,59372693,1,q22.2,FAM81A,145773,Hs.531168,1,/brain,brain
ENSG00000149557,11,125442881,-1,q24.2,FEZ1,9638,Hs.732083,1,/brain,brain
ENSG00000129682,X,138614731,-1,q27.1,FGF13,2258,Hs.6540,1,/brain,brain
ENSG00000174721,10,91906589,-1,q23.32,FGFBP3,143282,Hs.466120,1,/brain,brain
ENSG00000179431,11,35618419,1,p13,FJX1,24147,Hs.39384,1,/brain,brain
ENSG00000157827,2,152335237,1,q23.3,FMNL2,114793,Hs.654630,1,/brain,brain
ENSG00000204612,9,77019655,1,q21.2,FOXB2,442425,Hs.553843,1,/brain,brain
ENSG00000204060,1,41361922,1,p34.2,FOXO6,100132074,Hs.559677,1,/brain,brain
ENSG00000106701,9,105447796,1,q31.2,FSD1L,83856,Hs.136901,1,/brain,brain
ENSG00000104290,8,28494205,1,p21.1,FZD3,7976,Hs.734277,1,/brain,brain
ENSG00000204681,6,29555629,-1,p22.1,GABBR1,2550,Hs.167017,1,/brain,brain
ENSG00000157833,2,26173091,1,p23.3,GAREM2,150946,Hs.187912,1,/brain,brain
ENSG00000007237,17,9910609,-1,p13.1,GAS7,8522,Hs.462214,1,/brain,brain
ENSG00000104381,8,74321130,1,q21.11,GDAP1,54332,Hs.168950,1,/brain,brain
ENSG00000153982,17,59220467,1,q22,GDPD1,284161,Hs.631744,1,/brain,brain
ENSG00000198835,1,228149852,1,q42.13,GJC2,57165,Hs.743715,1,/brain,brain
ENSG00000176533,19,2511219,-1,p13.3,GNG7,2788,Hs.735237,1,/brain,brain
ENSG00000046653,X,13771031,-1,p22.2,GPM6B,2824,Hs.495710,1,/brain,brain
ENSG00000144230,2,127645864,1,q14.3,GPR17,2840,Hs.736277,1,/brain,brain
ENSG00000188394,9,123034527,1,q33.2,GPR21,,,1,/brain,brain
ENSG00000181773,1,27392644,1,p36.11,GPR3,2827,Hs.66542,1,/brain,brain
ENSG00000180929,3,51955314,1,p21.2,GPR62,118442,Hs.232213,1,/brain,brain
ENSG00000119737,2,53852913,-1,p16.2,GPR75,10936,Hs.40763,1,/brain,brain
ENSG00000167191,16,19856691,-1,p12.3,GPRC5B,51704,Hs.148685,1,/brain,brain
ENSG00000163873,1,36795527,-1,p34.3,GRIK3,2899,Hs.128848,1,/brain,brain
ENSG00000061918,4,155758992,1,q32.1,GUCY1B1,2983,Hs.77890,1,/brain,brain
ENSG00000130956,9,96450201,1,q22.32,HABP4,22927,Hs.494567,1,/brain,brain
ENSG00000182218,14,99645110,1,q32.2,HHIPL1,84439,Hs.288522,1,/brain,brain
ENSG00000167733,19,5680604,1,p13.3,HSD11B1L,374875,Hs.739286,1,/brain,brain
ENSG00000163596,2,202773150,-1,q33.2,ICA1L,130026,Hs.516629,1,/brain,brain
